post_id,source,source_type,platform,date_published,collection_window,url,language,truncated,tagged_with,crisis_related,crisis_topic,communication_type,location,instruction,contact_link,time_date,target_group,actionability_score,notes
DRM_015,DRM Lebanon,state,Facebook,2026-04-15,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_016,DRM Lebanon,state,Facebook,2026-04-14,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_017,DRM Lebanon,state,Facebook,2026-04-13,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_018,DRM Lebanon,state,Facebook,2026-04-12,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_019,DRM Lebanon,state,Facebook,2026-04-11,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_020,DRM Lebanon,state,Facebook,2026-04-10,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_021,DRM Lebanon,state,Facebook,2026-04-09,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_022,DRM Lebanon,state,Facebook,2026-04-09,2026-04-01 to 2026-05-06,,Arabic,no,none,yes,missing persons / child protection,service announcement,no,yes,no,no,yes,2,Emergency guidance for people who find a missing child. Action implied by framing. Instructions likely in attached image. No contact channel visible in text.
DRM_023,DRM Lebanon,state,Facebook,2026-04-08,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_024,DRM Lebanon,state,Facebook,2026-04-08,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,missing persons / emergency response,hotline / contact guidance,yes,yes,yes,yes,yes,5,Highest actionability in DRM dataset. Location (Beirut). Clear action (call). Hotlines listed in post (truncated in scrape). Time relevance (after recent strikes). Target group (families of missing persons).
DRM_025,DRM Lebanon,state,Facebook,2026-04-07,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_026,DRM Lebanon,state,Facebook,2026-04-06,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_027,DRM Lebanon,state,Facebook,2026-04-05,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_028,DRM Lebanon,state,Facebook,2026-04-04,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_029,DRM Lebanon,state,Facebook,2026-04-02,2026-04-01 to 2026-05-06,,Arabic,yes,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
DRM_030,DRM Lebanon,state,Facebook,2026-04-01,2026-04-01 to 2026-05-06,,Arabic,no,Grand Serail,yes,displacement / casualties / conflict impact,situation report,no,no,no,yes,no,1,Daily situation report. Documents crisis conditions. No citizen instructions.
