post_id,source,source_type,platform,date_published,collection_window,url,language,truncated,tagged_with,crisis_related,crisis_topic,communication_type,location,instruction,contact_link,time_date,target_group,actionability_score,notes
LCD_011,Lebanese Civil Defense,state,Facebook,approx. 2026-04-30,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / institutional,coordination update,yes,no,no,yes,no,1,Future Movement delegation appreciation visit. Explicitly references April 8 Beirut strikes. Ceremonial shield presented. Date reference (April 8) preserved.
LCD_012,Lebanese Civil Defense,state,Facebook,approx. 2026-04-30,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,emergency response / fire prevention,coordination update,yes,no,no,no,no,1,Field tour of Akkar Civil Defense stations. Emphasis on forest fire prevention cooperation and emergency readiness. Multiple named locations.
LCD_013,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,incident report,yes,no,no,no,no,2,Recovery of journalist Amal Khalil killed in Israeli airstrike on Al-Tairi. Joint operation with Lebanese Army and Lebanese Red Cross. Location named. Two video-only duplicate posts of this same event excluded.
LCD_014,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / institutional,coordination update,no,no,no,no,no,0,Kataeb party delegation visits to discuss CD needs and operational capacity in context of crisis. Brief and non-specific.
LCD_015,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,political/ceremonial,no,no,no,no,no,0,Parliamentary Defense Committee chair visits to pay condolences for martyred CD members. Pledges institutional support. No citizen guidance.
LCD_016,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,displacement / humanitarian aid,coordination update,yes,no,no,no,no,1,Russian aircraft delivers humanitarian aid for displaced persons and CD equipment. Signed at Beirut airport. A video-only duplicate post excluded. Location named.
LCD_017,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / institutional,coordination update,no,no,no,no,no,0,Very brief meeting with two religious figures. No specifics on crisis topics or guidance to citizens.
LCD_018,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,incident report,yes,no,no,yes,no,2,Discovery of 2 bodies in vehicle buried under Qasimiyeh bridge rubble. Bodies transferred to local hospital. Time reference (~2am) and named location provided.
LCD_019,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / search and rescue,coordination update,yes,no,no,no,no,1,Extensive field tour. Visits home of martyr Muhammad Mossreh in Zafta. Surveys Israeli strike damage. Stresses ongoing search for missing persons in Tyre/Sour. Multiple named locations.
LCD_020,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / damage assessment,coordination update,yes,no,no,no,no,1,Field tour of Dahiyeh CD centers. Surveys damage from Israeli strikes in Borj Al-Barajneh / Haret Hreik / Ghobeiri. Named locations.
LCD_021,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,displacement / search and rescue,coordination update,yes,no,no,no,no,1,UNHCR High Commissioner joint tour of active rescue sites in Beirut. UNHCR pledges more resources. Named locations. A video-only duplicate excluded.
LCD_022,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / institutional,coordination update,no,no,no,no,no,0,Brief meeting with Australian ambassador. Discusses CD challenges and support needs. No citizen guidance.
LCD_023,Lebanese Civil Defense,state,Facebook,approx. 2026-04-23,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / humanitarian aid,coordination update,no,no,no,no,no,0,Lebanese Forces MP delivers medical supplies to CD. In-kind donation to operational capacity. No citizen guidance.
LCD_024,Lebanese Civil Defense,state,Facebook,approx. 2026-04-16,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,incident report,yes,no,no,yes,no,2,Martyrdom of CD member killed by Israeli strike in Zafta on April 11 immediately after completing a rescue mission. Date of martyrdom confirmed. Named location. Biographical profile.
LCD_025,Lebanese Civil Defense,state,Facebook,approx. 2026-04-16,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / emergency operations,coordination update,yes,no,no,no,no,1,Belgian Deputy PM visits CD operations room. CD chief briefs on crisis across 7 named regions. International attention to crisis scale. Regional scope named.
LCD_026,Lebanese Civil Defense,state,Facebook,approx. 2026-04-08,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / casualties,situation report,yes,yes,no,no,yes,3,Most comprehensive casualty report: 254 martyrs and 1165 wounded broken down by 8 regions. CD describes ongoing operations. Explicit citizen appeal to cooperate with CD teams and clear the way. No contact number. Location-specific and target-group identified.
LCD_027,Lebanese Civil Defense,state,Facebook,approx. 2026-04-08,2026-04-01 to 2026-05-07,,Arabic,no,none,yes,security / emergency operations,warning/alert,yes,yes,no,no,yes,3,Full mobilization of all CD elements nationwide in response to Israeli strikes. Explicit citizen instructions: clear roads for CD vehicles / do not gather near strike sites. Location (all of Lebanon) and target group (citizens) identified. No hotline number.
