post_id,source,source_type,platform,date_published,collection_window,url,language,truncated,tagged_with,notes,crisis_related,crisis_topic,communication_type,location,instruction,contact_link,time_date,target_group,actionability_score
MoPH_011,Ministry of Public Health,state,Website,2026-04-08,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Urges public to avoid crowds and prioritize access for rescue/ambulance services after major simultaneous strikes. Clear instruction addressed to citizens.,yes,public safety / emergency response / casualties,warning / alert,no,yes,no,yes,yes,3
MoPH_012,Ministry of Public Health,state,Website,2026-04-09,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Cumulative report including breakdown by demographic. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_013,Ministry of Public Health,state,Website,2026-04-09,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Regional breakdown of April 8 casualties. Location dimension present (by region). No citizen instruction.,yes,casualties / conflict impact,situation report,yes,no,no,yes,no,2
MoPH_014,Ministry of Public Health,state,Website,2026-04-10,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated cumulative toll post-April 8. Notes toll from April 8 still rising. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_015,Ministry of Public Health,state,Website,2026-04-10,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Addresses families of missing/martyrs/wounded from April 8 strikes in Beirut/Mount Lebanon. Hariri Hospital (Bir Hassan) set up as inquiry point. Full text truncated — may include contact number.,yes,missing persons / emergency response,service announcement,yes,yes,no,yes,yes,4
MoPH_016,Ministry of Public Health,state,Website,2026-04-10,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,no,none,Names five specific hospitals in southern Beirut suburbs still operational. Reassures public that services continue. Useful for people seeking medical care.,yes,public health / hospitals,clarification statement,yes,no,no,yes,yes,3
MoPH_017,Ministry of Public Health,state,Website,2026-04-11,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Daily toll report. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_018,Ministry of Public Health,state,Website,2026-04-12,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Daily toll report. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_019,Ministry of Public Health,state,Website,2026-04-12,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Reports targeting of Red Cross team in Beit Yahoun (Bint Jbeil). Location and time specified. No citizen instruction.,yes,casualties / emergency responders / conflict,incident report,yes,no,no,yes,no,2
MoPH_020,Ministry of Public Health,state,Website,2026-04-13,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Daily toll report. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_021,Ministry of Public Health,state,Website,2026-04-14,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,no,none,Daily toll report. Full text (no truncation noted). No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_022,Ministry of Public Health,state,Website,2026-04-15,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Highest actionability in MoPH dataset. Location (Hariri Hospital Bir Hassan / Beirut and Mount Lebanon). Clear action (call 1787). Contact channel (hotline 1787). Time relevance (after April 8 crimes). Target group (families of missing persons).,yes,missing persons / emergency response,hotline / contact guidance,yes,yes,yes,yes,yes,5
MoPH_023,Ministry of Public Health,state,Website,2026-04-15,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Reports repeated targeting of paramedics in Maifadoun (Nabatieh). Location and time specified. Mentions one paramedic still missing but gives no reporting channel.,yes,casualties / emergency responders / conflict,incident report,yes,no,no,yes,no,2
MoPH_024,Ministry of Public Health,state,Website,2026-04-15,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Daily toll report. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_025,Ministry of Public Health,state,Website,2026-04-16,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Reports targeting of ambulance in Tebnine (Bint Jbeil). Two paramedics critically wounded. Location and time specified. No citizen instruction.,yes,casualties / emergency responders / conflict,incident report,yes,no,no,yes,no,2
MoPH_026,Ministry of Public Health,state,Website,2026-04-16,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,no,none,Daily toll report. Full text (no truncation noted). No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_027,Ministry of Public Health,state,Website,2026-04-17,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Preliminary cumulative toll. Explicitly noted as non-final. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_028,Ministry of Public Health,state,Website,2026-04-24,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_029,Ministry of Public Health,state,Website,2026-04-25,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_030,Ministry of Public Health,state,Website,2026-04-26,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_031,Ministry of Public Health,state,Website,2026-04-27,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_032,Ministry of Public Health,state,Website,2026-04-28,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Minister's condemnation statement. Location (Majdal Zoun) and time present. No citizen instruction.,yes,casualties / emergency responders / conflict,political / ceremonial statement,yes,no,no,yes,no,2
MoPH_033,Ministry of Public Health,state,Website,2026-04-28,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_034,Ministry of Public Health,state,Website,2026-04-29,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_035,Ministry of Public Health,state,Website,2026-04-30,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_036,Ministry of Public Health,state,Website,2026-05-01,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_037,Ministry of Public Health,state,Website,2026-05-02,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_038,Ministry of Public Health,state,Website,2026-05-03,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,no,none,Reports strike on Srifa (Tyre district). Four paramedics among the five injured. Location and time specified. No citizen instruction.,yes,casualties / emergency responders / conflict,incident report,yes,no,no,yes,no,2
MoPH_039,Ministry of Public Health,state,Website,2026-05-03,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_040,Ministry of Public Health,state,Website,2026-05-04,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_041,Ministry of Public Health,state,Website,2026-05-05,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,yes,none,Updated toll. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
MoPH_042,Ministry of Public Health,state,Website,2026-05-06,2026-04-01 to 2026-05-06,https://www.moph.gov.lb,Arabic,no,none,Updated toll. Full text available. No citizen instructions.,yes,casualties / conflict impact,situation report,no,no,no,yes,no,1
